method,frequency_hz,h,tolerance,max_abs_error,rms_error,accepted_steps,rejected_steps
RK4,10,0.01,NaN,5.20785780493416e-05,3.8528056970638e-05,100,0
RK4,10,0.005,NaN,3.39222090350866e-06,2.39268813974319e-06,200,0
RK4,10,0.0025,NaN,2.11546613559932e-07,1.49213468142074e-07,401,0
RK4,10,0.00125,NaN,1.3214406457962e-08,9.33233043440938e-09,801,0
RKF45,10,0.0204081632653061,0.0001,0.000229216871284188,0.000105097014355532,49,16
RKF45,10,0.00537634408602151,1e-07,2.17125694479403e-07,1.15859220832852e-07,186,30
RK4,100,0.001,NaN,5.20785780445676e-05,3.85280569707045e-05,100,0
RK4,100,0.0005,NaN,3.39222090151026e-06,2.39268813959925e-06,200,0
RK4,100,0.00025,NaN,2.11546592021605e-07,1.49399396130592e-07,400,0
RK4,100,0.000125,NaN,1.32143802566986e-08,9.3381422485173e-09,800,0
RKF45,100,0.00204081632653061,0.0001,0.000229216871284299,0.00010509701435832,49,16
RKF45,100,0.000537634408602151,1e-07,2.17125668722229e-07,1.15859217212058e-07,186,30
RK4,1000,0.0001,NaN,5.20785780507849e-05,3.85280569715251e-05,100,0
RK4,1000,5e-05,NaN,3.39222091128022e-06,2.39268814243495e-06,200,0
RK4,1000,2.5e-05,NaN,2.11546598904988e-07,1.49399395215592e-07,400,0
RK4,1000,1.25e-05,NaN,1.32143882503044e-08,9.33813204308136e-09,800,0
RKF45,1000,0.000204081632653061,0.0001,0.000229216871284466,0.000105097014359571,49,16
RKF45,1000,5.37634408602151e-05,1e-07,2.1712564901577e-07,1.1585921325815e-07,186,30
RK4,10000,1e-05,NaN,5.20785780437905e-05,3.85280569699918e-05,100,0
RK4,10000,5e-06,NaN,3.39222090284252e-06,2.39268813861723e-06,200,0
RK4,10000,2.5e-06,NaN,2.11546592909784e-07,1.49399394830908e-07,400,0
RK4,10000,1.25e-06,NaN,1.32144475362139e-08,9.33815737739159e-09,800,0
RKF45,10000,2.04081632653061e-05,0.0001,0.000229216871283022,0.00010509701435943,49,16
RKF45,10000,5.37634408602151e-06,1e-07,2.17125684737196e-07,1.15859217415871e-07,186,30
