method,frequency_hz,sample_time_s,max_abs_error,rms_error,zoh_match_error
zoh,10,0.1,5.20417042793042e-18,2.09333670215634e-18,0
foh,10,0.1,0.00248751711854557,0.000892107492706758,0
tustin,10,0.1,0.00217432594944286,0.000612017389151366,0
custom_zoh,10,0.1,1.04083408558608e-17,5.08807767321784e-18,1.04083408558608e-17
zoh,100,0.01,1.73472347597681e-17,7.42043855042686e-18,0
foh,100,0.01,0.000253603986308892,9.08533384935109e-05,0
tustin,100,0.01,0.000250045728674592,8.6106111576659e-05,0
custom_zoh,100,0.01,1.73472347597681e-17,7.42043855042686e-18,0
zoh,1000,0.001,6.74807432154978e-16,3.88814619150585e-16,0
foh,1000,0.001,2.53720471223851e-05,9.0942329868522e-06,0
tustin,1000,0.001,2.53356421156242e-05,9.04563396684633e-06,0
custom_zoh,1000,0.001,6.74807432154978e-16,3.88814619150585e-16,0
